index, Area Error, Distance Error, Location Error
01, 0.050163267180323545, 0.05033301641588217, 0.09242494759600836
02, 0.056530553847551304, 0.05402098476093464, 0.07605240189166612
03, 0.1278789639472961, 0.06772637051213437, 0.10535479080931733
04, 0.0617779809981584, 0.10566872173835362, 0.12862575499489337
05, 0.0840109139680862, 0.13804995803643388, 0.14470198586968339
06, 0.08049939572811125, 0.17793639715182463, 0.21974004553863713
07, 0.0945031493902206, 0.1510047016072713, 0.15837836832923077
08, 0.0855942368507385, 0.17424395370345125, 0.21932720876968428
09, 0.1537545025348663, 0.17877770451526565, 0.20533510586693088
10, 0.07048111408948896, 0.13704156729566863, 0.16821659257516314
11, 0.10832650586962694, 0.22264209350884157, 0.2106908056786605
12, 0.06594135239720339, 0.23791938020644382, 0.2770446919353028
13, 0.11537607014179224, 0.2741467460151641, 0.32431097707365913
14, 0.00075055230990975, 0.29570666648519706, 0.3888789877644731
15, 0.0237312158569693, 0.06821958946792123, 0.10417343798018183
16, 0.06992353871464725, 0.04763436430848733, 0.06585815919881936
17, 0.06306957080960271, 0.05916381228388001, 0.06973312309137418
18, 0.0001111347955884, 0.031223517013973745, 0.04635977364934123
19, 0.0012048782664351, 0.023460850866211858, 0.03489393052702448
20, 0.01468686899170275, 0.01736149102378759, 0.024849944619897812
21, 0.042546551674604347, 0.030594003155286487, 0.04135243621617271
22, 0.03099765256047245, 0.05699640715758625, 0.06569294992602889
23, 0.015256208367645699, 0.060062101091927333, 0.11902217703365758
24, 0.05000580660998815, 0.04666402115561516, 0.06229241893298722
25, 0.06094482168555255, 0.09196141392149826, 0.09157553176357636
26, 0.03332730196416375, 0.03462431136910232, 0.06588828319352918
27, 0.055012708529829896, 0.04302541778859209, 0.060412220753366656
28, 0.03992018848657605, 0.06048482436710678, 0.07553432803612567
29, 0.06385827437043184, 0.05492644031394382, 0.07514413270975387
30, 0.055251512676477404, 0.08006972770641729, 0.07115601120860356
31, 0.0430800169706344, 0.05137576790696918, 0.06280161929658643
32, 0.061200160533189746, 0.08355608133524939, 0.0991745525554997
33, 0.14592353254556656, 0.34165335187208523, 0.5611345597154275
34, 0.2113482654094696, 1.2080720216614205, 0.6740793974745581
35, 0.17633219063282005, 0.5522606179567324, 0.7218602345583762
36, 0.20210148394107813, 0.733819822989346, 0.9887284958508704
37, 0.17937704920768735, 0.5309048809588927, 0.5737868812786735
